"date","time","country","age","n_group","n_manta","dive_level","is_first_time","pc","pick_n_divers","n_diver_A","n_diver_B","n_diver_C","n_diver_D","n_diver_E","n_diver_F","pick_n_boats","n_boats_A","n_boats_B","n_boats_C","n_boats_D","n_boats_E","n_boats_F","dc","diver_norms","boat_norms","date_time","obs_boat","boat_RE","diver_RE","fewer_boat_UL","more_boat_UL","fewer_boat_RE","more_boat_RE","fewer_diver_RE","more_diver_RE"
"09/02/2024","10:00","Indonesia",32,5,2,"Professional Diver","N",9,5,4,3,2,1,-1,-2,6,4,3,2,1,-1,-2,"OG",9,40,"2024-09-02 10:00:00",NA,55,10,NA,NA,FALSE,TRUE,FALSE,TRUE
"09/06/2024","11:00","Indonesia",27,8,7,"Professional Diver","N",7,5,4,3,-3,-4,-4,-4,3,4,-1,-3,-4,-4,-4,"Others",5,13,"2024-09-06 11:00:00",NA,25,10,NA,NA,FALSE,TRUE,FALSE,TRUE
"09/07/2024","08:00","Finland",35,4,2,"Try Scuba / DSD","Y",NA,5,4,4,3,-1,-1,-4,3,4,1,-2,-3,-3,-3,"SDI",8.25,18.3333333333333,"2024-09-07 08:00:00",NA,25,10,NA,NA,FALSE,TRUE,FALSE,TRUE
"09/07/2024","08:00","Austria",22,10,4,"Try Scuba / DSD","Y",7,4,NA,NA,NA,-3,NA,NA,5,NA,NA,NA,NA,-4,NA,"SDI",NA,NA,"2024-09-07 08:00:00",NA,45,8,NA,NA,NA,NA,NA,NA
"09/07/2024","08:00","Belgium",29,4,2,"Try Scuba / DSD","Y",NA,6,4,3,3,-1,-2,-4,4,4,2,0,-3,-4,-4,"SDI",7.25,25,"2024-09-07 08:00:00",NA,35,12,NA,NA,FALSE,TRUE,FALSE,TRUE
"09/07/2024","08:00","Belgium",30,4,3,"Try Scuba / DSD","Y",7,5,NA,NA,NA,NA,-2,NA,4,NA,NA,NA,-2,NA,NA,"SDI",NA,NA,"2024-09-07 08:00:00",NA,35,10,NA,NA,NA,NA,NA,NA
"09/07/2024","08:30","United Kingdom",26,4,4,"Advanced Open Water Diver","Y",5,4,4,4,4,3,3,0,3,4,4,3,3,2,1,"SDI",12,-5,"2024-09-07 08:30:00",NA,25,8,NA,NA,FALSE,TRUE,TRUE,FALSE
"09/07/2024","08:30","Malaysia",34,3,3,"Open Water Diver","Y",NA,5,NA,NA,NA,NA,NA,NA,4,4,3,1,-2,-3,-4,"SDI",NA,28.3333333333333,"2024-09-07 08:30:00",NA,35,10,NA,NA,FALSE,TRUE,NA,NA
"09/07/2024","08:30","Germany",32,4,4,"Advanced Open Water Diver","Y",NA,4,4,4,3,2,0,-1,NA,4,3,3,1,-1,-2,"SDI",10,40,"2024-09-07 08:30:00",NA,NA,8,NA,NA,NA,NA,TRUE,FALSE
"09/07/2024","09:05","Finland",40,5,4,"Advanced Open Water Diver","Y",8,5,NA,NA,NA,NA,-4,NA,5,NA,NA,NA,NA,-4,NA,"SDI",NA,NA,"2024-09-07 09:05:00",NA,45,10,NA,NA,NA,NA,NA,NA
"09/07/2024","09:30","",35,3,3,"Open Water Diver","Y",NA,4,4,4,1,-2,-3,-4,4,4,3,0,-2,-4,-4,"SDI",6.66666666666667,25,"2024-09-07 09:30:00",NA,35,8,NA,NA,FALSE,TRUE,FALSE,TRUE
"09/07/2024","10:00","Finland",NA,5,3,"Open Water Diver","Y",8,5,NA,NA,NA,NA,-3,NA,5,NA,NA,NA,NA,-4,NA,"SDI",NA,NA,"2024-09-07 10:00:00",NA,45,10,NA,NA,NA,NA,NA,NA
"09/08/2024","8:40","United Kingdom",45,4,8,"Professional Diver","N",8,6,4,4,3,2,-2,-4,5,4,4,1,0,-2,-4,"BC",9,35,"2024-09-08 08:40:00",NA,45,12,NA,NA,FALSE,TRUE,FALSE,TRUE
"09/09/2024","10:20","Germany",42,4,NA,"Advanced Open Water Diver","N",NA,3,NA,NA,-1,NA,NA,NA,3,NA,NA,1,NA,NA,NA,"WD",NA,NA,"2024-09-09 10:20:00",30,25,6,NA,NA,NA,NA,NA,NA
"09/09/2024","10:20","Germany",50,4,20,"Rescue Diver","Y",NA,3,NA,NA,-1,NA,NA,NA,3,NA,NA,1,NA,NA,NA,"WD",NA,NA,"2024-09-09 10:20:00",30,25,6,NA,NA,NA,NA,NA,NA
"09/09/2024","10:20","Germany",48,4,15,"Advanced Open Water Diver","Y",NA,3,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,"WD",NA,NA,"2024-09-09 10:20:00",30,25,6,NA,NA,NA,NA,NA,NA
"09/09/2024","10:20","United Kingdom",35,1,NA,"Advanced Open Water Diver","Y",NA,3,NA,NA,1,NA,NA,NA,3,NA,NA,1,NA,NA,NA,"WD",NA,NA,"2024-09-09 10:20:00",30,25,6,NA,NA,NA,NA,NA,NA
"09/09/2024","10:20","Germany",68,4,NA,"Rescue Diver","Y",NA,3,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,"WD",NA,NA,"2024-09-09 10:20:00",30,35,6,NA,NA,NA,NA,NA,NA
"09/09/2024","10:20","Australia",38,4,NA,"Rescue Diver","N",NA,3,NA,NA,0,NA,NA,NA,3,NA,NA,0,NA,NA,NA,"WD",NA,NA,"2024-09-09 10:20:00",30,25,6,NA,NA,NA,NA,NA,NA
"09/09/2024","10:20","Netherlands",34,NA,NA,"Advanced Open Water Diver","N",NA,4,NA,NA,NA,-2,NA,NA,3,NA,NA,-1,NA,NA,NA,"WD",NA,NA,"2024-09-09 10:20:00",30,25,8,NA,NA,NA,NA,NA,NA
"09/09/2024","10:20","Germany",42,4,10,"Advanced Open Water Diver","Y",NA,3,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,"WD",NA,NA,"2024-09-09 10:20:00",30,35,6,NA,NA,NA,NA,NA,NA
"09/09/2024","10:20","Netherlands",33,5,NA,"Advanced Open Water Diver","N",NA,3,NA,NA,-1,NA,NA,NA,3,NA,NA,0,NA,NA,NA,"WD",NA,NA,"2024-09-09 10:20:00",30,25,6,NA,NA,NA,NA,NA,NA
"09/09/2024","10:20","Netherlands",63,5,NA,"","",NA,3,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,"WD",NA,NA,"2024-09-09 10:20:00",30,35,6,NA,NA,NA,NA,NA,NA
"09/10/2024","9:00","Belgium",25,8,7,"Try Scuba / DSD","Y",5,3,4,3,1,-1,-2,-4,3,4,3,1,-1,-3,-4,"BFD",7,30,"2024-09-10 09:00:00",47,25,6,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"09/11/2024","8:30","Australia",32,3,9,"Rescue Diver","N",9,4,0,-1,-4,-3,-3,-3,4,0,0,-2,-4,-4,-4,"SDI",2,10,"2024-09-11 08:30:00",40,35,8,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
"09/11/2024","9:10","France",39,4,3,"Professional Diver","N",6,2,4,2,0,-2,-3,-4,3,4,4,0,0,-4,-4,"Purple",6,30,"2024-09-11 09:10:00",40,25,4,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
"09/11/2024","9:15","Spain",32,4,4,"Open Water Diver","Y",6,2,4,4,-2,-4,-4,-4,4,4,4,4,-3,-4,-4,"BFD",5,26.4285714285714,"2024-09-11 09:15:00",40,35,4,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
"09/12/2024","9:00","France",45,4,5,"Advanced Open Water Diver","Y",8,4,4,4,2,0,0,-3,5,4,4,4,0,-4,-4,"Purple",9,35,"2024-09-12 09:00:00",44,45,8,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
"09/13/2024","08:00","",21,4,12,"Professional Diver","N",NA,6,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,"DC",NA,NA,"2024-09-13 08:00:00",NA,55,12,NA,NA,NA,NA,NA,NA
"09/13/2024","08:30","Poland",32,4,6,"Open Water Diver","Y",6,5,NA,NA,NA,NA,-1,NA,5,NA,NA,NA,NA,-1,NA,"BFD",NA,NA,"2024-09-13 08:30:00",47,45,10,NA,NA,NA,NA,NA,NA
"09/13/2024","09:00","Singapore",25,4,4,"Open Water Diver","Y",5,5,4,3,2,-2,1,-4,3,4,0,-1,-2,-3,-4,"DC",9.33333333333333,15,"2024-09-13 09:00:00",47,25,10,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
"09/13/2024","09:00","Denmark",26,4,3,"Open Water Diver","Y",3,2,4,2,-1,-4,0,-4,5,4,3,-1,-2,-2,-1,"DC",10,33.75,"2024-09-13 09:00:00",47,45,4,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
"09/13/2024","09:00","Spain",22,4,4,"Open Water Diver","Y",8,4,4,3,0,-3,-2,-4,3,4,1,-1,-4,-4,-4,"DC",6,20,"2024-09-13 09:00:00",47,25,8,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
"09/13/2024","09:00","United Kingdom",30,NA,4,"Open Water Diver","N",NA,6,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,"DC",NA,NA,"2024-09-13 09:00:00",47,55,12,NA,NA,NA,NA,NA,NA
"09/13/2024","09:00","France",28,4,3,"Advanced Open Water Diver","N",NA,6,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,"DC",NA,NA,"2024-09-13 09:00:00",47,55,12,NA,NA,NA,NA,NA,NA
